Date,Open,High,Low,Close,Adj Close,Volume
2011-08-09,1412.000000,1464.000000,1412.000000,1460.250000,1348.808716,2182
2011-08-10,1462.000000,1475.050049,1431.000000,1451.599976,1340.818726,867
2011-08-11,1450.000000,1476.000000,1450.000000,1468.349976,1356.290283,13396
2011-08-12,1470.000000,1470.050049,1402.250000,1407.699951,1300.268921,2744
2011-08-16,1426.000000,1447.500000,1405.099976,1436.449951,1326.824829,19310
2011-08-17,1440.000000,1472.000000,1428.050049,1470.050049,1357.860840,2958
2011-08-18,1470.000000,1536.000000,1414.599976,1484.099976,1370.838623,14999
2011-08-19,1460.000000,1499.849976,1431.099976,1469.150024,1357.029419,2890
2011-08-22,1433.050049,1490.000000,1429.750000,1472.750000,1360.354736,1776
2011-08-23,1478.949951,1478.949951,1448.000000,1456.550049,1345.390869,178
2011-08-24,1477.949951,1499.199951,1450.000000,1469.949951,1357.768311,2745
2011-08-25,1454.500000,1468.000000,1451.000000,1452.500000,1341.650024,543
2011-08-26,1448.050049,1464.900024,1448.050049,1450.099976,1339.433350,671
2011-08-29,1412.099976,1479.900024,1412.099976,1467.400024,1355.412842,17251
2011-08-30,1483.000000,1484.000000,1449.000000,1480.199951,1367.235962,1759
2011-09-02,1479.500000,1490.000000,1450.000000,1482.199951,1369.083130,2055
2011-09-05,1430.000000,1503.000000,1430.000000,1463.199951,1351.533447,1780
2011-09-06,1454.099976,1488.000000,1454.099976,1467.750000,1355.736328,284
2011-09-07,1504.300049,1625.000000,1470.050049,1570.849976,1450.968018,20588
2011-09-08,1578.000000,1578.000000,1531.000000,1537.900024,1420.532471,1190
2011-09-09,1569.900024,1569.900024,1523.050049,1551.400024,1433.002197,540
2011-09-12,1557.000000,1557.000000,1458.300049,1497.250000,1382.984863,2450
2011-09-13,1490.000000,1526.000000,1490.000000,1515.050049,1399.426636,1020
2011-09-14,1514.500000,1550.000000,1500.000000,1511.349976,1396.008911,1120
2011-09-15,1554.949951,1554.949951,1500.199951,1513.500000,1397.994629,1580
2011-09-16,1515.000000,1515.000000,1490.000000,1504.550049,1389.727539,1523
2011-09-19,1514.900024,1524.000000,1492.150024,1500.449951,1385.940430,986
2011-09-20,1490.050049,1518.500000,1481.000000,1514.699951,1399.102905,2571
2011-09-21,1568.800049,1568.800049,1498.900024,1512.300049,1396.886353,679
2011-09-22,1495.000000,1510.000000,1468.050049,1477.400024,1364.649658,1370
2011-09-23,1475.000000,1499.949951,1446.500000,1456.199951,1345.067871,846
2011-09-26,1465.000000,1469.099976,1410.099976,1430.400024,1321.236694,877
2011-09-27,1448.000000,1460.000000,1445.000000,1447.150024,1336.708252,578
2011-09-28,1446.500000,1449.000000,1424.099976,1426.400024,1317.541992,351
2011-09-29,1419.000000,1438.000000,1400.500000,1422.849976,1314.262695,1642
2011-09-30,1435.000000,1447.000000,1407.800049,1419.849976,1311.491821,6607
2011-10-03,1469.699951,1469.699951,1390.000000,1414.500000,1306.550049,2020
2011-10-04,1420.000000,1490.000000,1396.000000,1444.849976,1334.583618,3771
2011-10-05,1477.000000,1477.000000,1412.250000,1444.550049,1334.306885,2523
2011-10-07,1449.050049,1450.750000,1435.650024,1449.949951,1339.294678,5761
2011-10-10,1425.000000,1464.500000,1425.000000,1461.599976,1350.055420,1984
2011-10-11,1469.650024,1469.650024,1444.000000,1446.099976,1335.738281,230
2011-10-12,1445.500000,1468.000000,1432.000000,1465.000000,1353.195923,1345
2011-10-13,1464.000000,1464.000000,1430.000000,1450.150024,1339.479370,1213
2011-10-14,1451.000000,1456.000000,1441.000000,1448.699951,1338.140015,395
2011-10-17,1456.050049,1460.000000,1431.550049,1437.349976,1327.656128,942
2011-10-18,1435.000000,1469.000000,1432.000000,1458.750000,1347.423096,1801
2011-10-19,1433.000000,1479.000000,1433.000000,1463.750000,1352.041382,808
2011-10-20,1470.000000,1505.000000,1455.000000,1463.500000,1351.810547,1903
2011-10-21,1473.750000,1475.000000,1425.000000,1439.949951,1330.057739,1379
2011-10-24,1439.949951,1474.949951,1433.000000,1444.150024,1333.937378,743
2011-10-25,1452.500000,1452.500000,1433.199951,1441.099976,1331.120117,207
2011-10-28,1470.000000,1470.000000,1438.000000,1440.699951,1330.750610,1407
